Name,ID
Human polyomavirus 6,NC_014406
Human polyomavirus 7,NC_014407
Human polyomavirus 9,NC_015150
Human respirovirus 1,NC_003461
Human respirovirus 3,NC_001796
Human rhinovirus NAT001,NC_038878
Human rotavirus B,NC_021549
Human rotavirus B,NC_021541
Human rotavirus B,NC_021542
Human rotavirus B,NC_021543
Human rotavirus B,NC_021544
Human rotavirus B,NC_021545
Human rotavirus B,NC_021546
Human rotavirus B,NC_021547
Human rotavirus B,NC_021550
Human rotavirus B,NC_021551
Human rotavirus B,NC_021548
Human smacovirus 1,NC_026252
Human stool-associated circular virus NG13,NC_038392
Human T-cell leukemia virus type I,NC_001436
Human T-lymphotropic virus 2,NC_001488
Human T-lymphotropic virus 4,NC_011800
Human TMEV-like cardiovirus,NC_010810
Husavirus sp.,NC_032480
IAS virus,NC_049978
Ilesha virus,NC_043585
Ilesha virus,NC_043586
Ilesha virus,NC_043587
Ilheus virus,NC_009028
Indian encephalitis associated cyclovirus,NC_032682
Infectious bronchitis virus,NC_001451
Infectious bronchitis virus,NC_048213
Infectious spleen and kidney necrosis virus,NC_003494
Influenza A virus (A/California/07/2009(H1N1)),NC_026431
Influenza A virus (A/California/07/2009(H1N1)),NC_026434
Influenza A virus (A/California/07/2009(H1N1)),NC_026435
Influenza A virus (A/California/07/2009(H1N1)),NC_026436
Influenza A virus (A/California/07/2009(H1N1)),NC_026437
Influenza A virus (A/California/07/2009(H1N1)),NC_026438
Influenza A virus (A/California/07/2009(H1N1)),NC_026432
Influenza A virus (A/California/07/2009(H1N1)),NC_026433
Influenza A virus (A/goose/Guangdong/1/1996(H5N1)),NC_007357
Influenza A virus (A/goose/Guangdong/1/1996(H5N1)),NC_007359
Influenza A virus (A/goose/Guangdong/1/1996(H5N1)),NC_007360
Influenza A virus (A/goose/Guangdong/1/1996(H5N1)),NC_007364
Influenza A virus (A/goose/Guangdong/1/1996(H5N1)),NC_007361
Influenza A virus (A/goose/Guangdong/1/1996(H5N1)),NC_007358
Influenza A virus (A/goose/Guangdong/1/1996(H5N1)),NC_007363
Influenza A virus (A/goose/Guangdong/1/1996(H5N1)),NC_007362
Influenza A virus (A/Hong Kong/1073/99(H9N2)),NC_004909
Influenza A virus (A/Hong Kong/1073/99(H9N2)),NC_004910
Influenza A virus (A/Hong Kong/1073/99(H9N2)),NC_004912
Influenza A virus (A/Hong Kong/1073/99(H9N2)),NC_004906
Influenza A virus (A/Hong Kong/1073/99(H9N2)),NC_004907
Influenza A virus (A/Hong Kong/1073/99(H9N2)),NC_004908
Influenza A virus (A/Hong Kong/1073/99(H9N2)),NC_004905
Influenza A virus (A/Hong Kong/1073/99(H9N2)),NC_004911
Influenza A virus (A/Korea/426/1968(H2N2)),NC_007380
Influenza A virus (A/Korea/426/1968(H2N2)),NC_007376
Influenza A virus (A/Korea/426/1968(H2N2)),NC_007377
Influenza A virus (A/Korea/426/1968(H2N2)),NC_007375
Influenza A virus (A/Korea/426/1968(H2N2)),NC_007374
Influenza A virus (A/Korea/426/1968(H2N2)),NC_007378
Influenza A virus (A/Korea/426/1968(H2N2)),NC_007382
Influenza A virus (A/Korea/426/1968(H2N2)),NC_007381
Influenza A virus (A/New York/392/2004(H3N2)),NC_007366
Influenza A virus (A/New York/392/2004(H3N2)),NC_007367
Influenza A virus (A/New York/392/2004(H3N2)),NC_007368
Influenza A virus (A/New York/392/2004(H3N2)),NC_007369
Influenza A virus (A/New York/392/2004(H3N2)),NC_007370
Influenza A virus (A/New York/392/2004(H3N2)),NC_007372
Influenza A virus (A/New York/392/2004(H3N2)),NC_007371
Influenza A virus (A/New York/392/2004(H3N2)),NC_007373
Influenza A virus (A/Puerto Rico/8/1934(H1N1)),NC_002023
Influenza A virus (A/Puerto Rico/8/1934(H1N1)),NC_002019
Influenza A virus (A/Puerto Rico/8/1934(H1N1)),NC_002017
Influenza A virus (A/Puerto Rico/8/1934(H1N1)),NC_002018
Influenza A virus (A/Puerto Rico/8/1934(H1N1)),NC_002020
Influenza A virus (A/Puerto Rico/8/1934(H1N1)),NC_002021
Influenza A virus (A/Puerto Rico/8/1934(H1N1)),NC_002022
Influenza A virus (A/Puerto Rico/8/1934(H1N1)),NC_002016
Influenza A virus (A/Shanghai/02/2013(H7N9)),NC_026422
Influenza A virus (A/Shanghai/02/2013(H7N9)),NC_026423
Influenza A virus (A/Shanghai/02/2013(H7N9)),NC_026424
Influenza A virus (A/Shanghai/02/2013(H7N9)),NC_026429
Influenza A virus (A/Shanghai/02/2013(H7N9)),NC_026426
Influenza A virus (A/Shanghai/02/2013(H7N9)),NC_026427
Influenza A virus (A/Shanghai/02/2013(H7N9)),NC_026428
Influenza A virus (A/Shanghai/02/2013(H7N9)),NC_026425
Influenza C virus (C/Ann Arbor/1/50),NC_006307
Influenza C virus (C/Ann Arbor/1/50),NC_006306
Influenza C virus (C/Ann Arbor/1/50),NC_006310
Influenza C virus (C/Ann Arbor/1/50),NC_006312
Influenza C virus (C/Ann Arbor/1/50),NC_006308
Influenza C virus (C/Ann Arbor/1/50),NC_006311
Influenza C virus (C/Ann Arbor/1/50),NC_006309
Ingwavuma virus,NC_043590
Ingwavuma virus,NC_043588
Ingwavuma virus,NC_043589
Isfahan virus,NC_020806
Japanese encephalitis virus,NC_001437
JC polyomavirus,NC_001699
Jingmen tick virus,NC_024111
Jingmen tick virus,NC_024114
Jingmen tick virus,NC_024113
Jingmen tick virus,NC_024112
Keystone virus,NC_043628
Keystone virus,NC_043627
Keystone virus,NC_043629
Kokobera virus,NC_009029
Kyasanur Forest disease virus,NC_039218
La Crosse virus,NC_004109
La Crosse virus,NC_004110
La Crosse virus,NC_004108
Laguna Negra orthohantavirus,NC_038505
Laguna Negra orthohantavirus,NC_038506
Langat virus,NC_003690
Lassa mammarenavirus,NC_004296
Lassa mammarenavirus,NC_004297
Le Dantec virus,NC_034443
Lebombo virus,NC_038594
Lebombo virus,NC_038595
Lebombo virus,NC_038596
Lebombo virus,NC_038597
Lebombo virus,NC_038598
Lebombo virus,NC_038599
Lebombo virus,NC_038600
Lebombo virus,NC_038601
Lebombo virus,NC_038602
Lebombo virus,NC_038603
LI polyomavirus,NC_034253
Louping ill virus,NC_001809
Lujo mammarenavirus,NC_012776
Lujo mammarenavirus,NC_012777
Lymphocytic choriomeningitis mammarenavirus,NC_004294
Lymphocytic choriomeningitis mammarenavirus,NC_004291
Lyssavirus australis,NC_003243
Lyssavirus duvenhage,NC_020810
Lyssavirus lagos,NC_020807
Lyssavirus rabies,NC_001542
Macacine alphaherpesvirus 1,NC_004812
Machupo mammarenavirus,NC_005078
Machupo mammarenavirus,NC_005079
Madariaga virus,NC_023812
Madrid virus,NC_034498
Madrid virus,NC_034505
Madrid virus,NC_034497
Maguari virus,NC_055210
Maguari virus,NC_055211
Maguari virus,NC_055212
Maldonado virus,NC_055342
Maldonado virus,NC_055343
Maldonado virus,NC_055344
Mamastrovirus 1,NC_030922
Mamastrovirus 3,NC_025379
Mammalian orthoreovirus 3,NC_013227
Mammalian orthoreovirus 3,NC_013225
Mammalian orthoreovirus 3,NC_013228
Mammalian orthoreovirus 3,NC_013226
Mammalian orthoreovirus 3,NC_013230
Mammalian orthoreovirus 3,NC_013232
Mammalian orthoreovirus 3,NC_013233
Mammalian orthoreovirus 3,NC_013229
Mammalian orthoreovirus 3,NC_013234
Mammalian orthoreovirus 3,NC_013231
Marburg marburgvirus,NC_001608
Marburg marburgvirus,NC_024781
Marituba virus,NC_034496
Marituba virus,NC_034504
Marituba virus,NC_034495
Mayaro virus,NC_003417
Measles morbillivirus,NC_001498
Melaka orthoreovirus,NC_020441
Melaka orthoreovirus,NC_020446
Melaka orthoreovirus,NC_020448
Melaka orthoreovirus,NC_020442
Melaka orthoreovirus,NC_020443
Melaka orthoreovirus,NC_020445
Melaka orthoreovirus,NC_020439
Melaka orthoreovirus,NC_020444
Melaka orthoreovirus,NC_020440
Melaka orthoreovirus,NC_020447
Melao virus,NC_043635
Melao virus,NC_043633
Melao virus,NC_043634
Merkel cell polyomavirus,NC_010277
Middle East respiratory syndrome-related coronavirus,NC_019843
Mogiana tick virus,NC_034222
Mogiana tick virus,NC_034223
Mogiana tick virus,NC_034224
Mogiana tick virus,NC_034225
Molluscum contagiosum virus subtype 1,NC_001731
Moloney murine leukemia virus,NC_001501
Mongoose feces-associated gemycircularvirus c,NC_026809
Monkeypox virus Zaire-96-I-16,NC_003310
Monkeypox virus,NC_063383
Mouse mammary tumor virus,NC_001503
MSSI2.225 virus,NC_024691
Mumps orthorubulavirus,NC_002200
Mupapillomavirus 1,NC_001356
Murine type C retrovirus,NC_001702
Murray Valley encephalitis virus,NC_000943
MW polyomavirus,NC_018102
Nairobi sheep disease virus,NC_034387
Nairobi sheep disease virus,NC_034386
Nairobi sheep disease virus,NC_034391
New Jersey polyomavirus-2013,NC_024118
Nipah henipavirus,NC_002728
Norovirus dog/GVI.1/HKU_Ca026F/2007/HKG,NC_044047
Norovirus GI,NC_001959
Norovirus GI,NC_044853
Norovirus GI,NC_044854
Norovirus GI,NC_044856
Norovirus GI/Hu/JP/2007/GI.P3_GI.3/Shimizu/KK2866,NC_039897
Norovirus GII,NC_039477
Norovirus GII,NC_040876
Norovirus GII,NC_044932
Norovirus GII.17,NC_039475
Norovirus GII.2,NC_039476
Norovirus GII/Hu/JP/2007/GII.P15_GII.15/Sapporo/HK299,NC_044045
Norovirus GII/Hu/JP/2011/GII/Yuzawa/Gira2HS,NC_044046
Norovirus GIII,NC_029645
Norovirus GIV,NC_029647
Norovirus GIV,NC_044855
Norovirus GIV,NC_045762
Norovirus GV,NC_008311
Norwalk-like virus,NC_029646
NY_014 poxvirus,NC_035469
Omsk hemorrhagic fever virus,NC_005062
Onyong-nyong virus,NC_001512
Orf virus,NC_005336
Oriboca virus,NC_034476
Oriboca virus,NC_034488
Oriboca virus,NC_034475
Oropouche virus,NC_005775
Oropouche virus,NC_005777
Oropouche virus,NC_005776
Orungo virus,NC_038605
Orungo virus,NC_038604
Orungo virus,NC_038606
Orungo virus,NC_038607
Orungo virus,NC_038608
Orungo virus,NC_038609
Orungo virus,NC_038610
Orungo virus,NC_038611
Orungo virus,NC_038612
Orungo virus,NC_038613
Papiine alphaherpesvirus 2,NC_007653
Papio ursinus cytomegalovirus,NC_027016
Parainfluenza virus 5,NC_006430
Parechovirus A,NC_001897
Parvovirus NIH-CQV,NC_022089
Paslahepevirus balayani,NC_001434
Pegivirus A,NC_001837
Peste des petits ruminants virus,NC_006383
Pichinde virus,NC_006447
Pichinde virus,NC_006439
Picobirnavirus sp.,NC_040752
Picobirnavirus sp.,NC_040753
Porcine circovirus 1,NC_001792
